Pennant Sector,Scale,DebtorsDaysMin,DebtorsDaysMax
Milling Products ,Large,"1,692.5","2,851"
Milling Products ,Medium,"1,930","3,168"
Milling Products ,Small,"1,655","3,194"
Minerals,Large,"2,256.75","7,278"
Minerals,Medium,"3,181.5","8,838"
Minerals,Small,"3,203.25","15,458.5"
Mining & Construction Equipment ,Large,"5,136.5","11,752.5"
Mining & Construction Equipment ,Medium,"5,451.75","15,104.75"
Mining & Construction Equipment ,Small,"6,857.75","21,635.25"
Misc. Manufactured Article,Large,107,372
Misc. Manufactured Article,Medium,84,331
Misc. Manufactured Article,Small,70.25,388.25
Natural Gas Trading & Distribution Industry,Large,"1,726","2,567.5"
Natural Gas Trading & Distribution Industry,Medium,"1,814.5","3,226"
Natural Gas Trading & Distribution Industry,Small,"1,499.5","5,964"
Online Marketplaces,Large,646,"2,272.75"
Online Marketplaces,Medium,"2,793.75","15,660.25"
Online Marketplaces,Small,"3,780.25","28,821"
Organic Chemicals,Large,"2,679","6,729"
Organic Chemicals,Medium,"3,124.5","7,368"
Organic Chemicals,Small,"3,207","10,107"
Other Agricultural Products ,Large,"1,711.5","5,650"
Other Agricultural Products ,Medium,"1,760","8,193"
Other Agricultural Products ,Small,"2,607.5","25,093"
Other Chemical Products,Large,"4,999","9,107"
Other Chemical Products,Medium,"5,250","9,146"
Other Chemical Products,Small,"5,752.75","16,894.5"
Other Construction Material ,Large,"2,442","6,448"
Other Construction Material ,Medium,"6,116.75","11,021"
Other Construction Material ,Small,"8,761","35,963"
Other Domestic Appliance,Large,"2,139","6,221"
Other Domestic Appliance,Medium,"4,167.5","13,133.5"
Other Domestic Appliance,Small,"6,586","38,285"
Other Electronics,Large,"5,155.5","11,620.75"
Other Electronics,Medium,"6,623.75","14,990.5"
Other Electronics,Small,"5,698","21,292"
Other Ferrous Metal ,Large,"2,043","7,979"
Other Ferrous Metal ,Medium,"3,668","9,467"
Other Ferrous Metal ,Small,"4,934.75","15,046.5"
Other Industrial Machinery ,Large,"7,339.5","8,547.5"
Other Industrial Machinery ,Medium,"6,253","9,419.5"
Other Industrial Machinery ,Small,"5,065.5","10,012.5"
Other Leather & Related Products ,Large,"4,659","7,145"
Other Leather & Related Products ,Medium,"5,449","10,938"
Other Leather & Related Products ,Small,"3,563","16,204"
Other Misc Services,Large,"5,265.25","15,597.5"
Other Misc Services,Medium,"5,475.5","27,833"
Other Misc Services,Small,"12,920.5",600
Other Non-ferrous Metals & Metal Products I,Large,"1,516.5","5,608"
Other Non-ferrous Metals & Metal Products I,Medium,"2,303.5","6,758.5"
Other Non-ferrous Metals & Metal Products I,Small,"4,206.75","8,957.25"
Other Textiles Industry,Large,"2,944.75","8,607.5"
Other Textiles Industry,Medium,"3,184","9,203"
Other Textiles Industry,Small,"4,546.75","18,714.75"
Other Transport Equipment & Ancillaries,Large,"4,550","10,812"
Other Transport Equipment & Ancillaries,Medium,"5,637","9,869"
Other Transport Equipment & Ancillaries,Small,"6,627.25","28,221.5"
Paints & Varnishes ,Large,"5,182","7,918"
Paints & Varnishes ,Medium,"6,022","11,429"
Paints & Varnishes ,Small,"9,474","14,621.75"
Paper Products ,Large,"5,461","8,046.5"
Paper Products ,Medium,"5,515","14,705.5"
Paper Products ,Small,"6,771","6,771"
Petroleum Products,Large,808.5,"3,964.25"
Petroleum Products,Medium,"3,774.5","6,778.5"
Petroleum Products,Small,"5,064.5","10,618"
Pig Iron,Large,"3,708","8,871.5"
Pig Iron,Medium,506.75,"1,490.25"
Pig Iron,Small,"3,269.5","6,651"
Plastic Products,Large,"4,347","8,962"
Plastic Products,Medium,"4,914","9,728"
Plastic Products,Small,"5,904","16,919.25"
Polymers,Large,"2,877","8,260"
Polymers,Medium,"6,493.5","11,881.5"
Polymers,Small,"6,794","13,329"
Poultry & Meat Products ,Large,"1,422","3,709.5"
Poultry & Meat Products ,Medium,"1,041.75","5,836"
Poultry & Meat Products ,Small,"1,433.5","41,454.5"
Processed Foods Industry,Large,798.75,"3,485.25"
Processed Foods Industry,Medium,"1,818.5","6,378"
Processed Foods Industry,Small,"2,634.25","9,813.75"
Railway Transport & Allied Services ,Large,"3,585","4,232"
Railway Transport & Allied Services ,Medium,"2,164","5,266"
Railway Transport & Allied Services ,Small,"8,340","34,214"
Readymade Garments,Large,"5,010","8,515"
Readymade Garments,Medium,"5,615.5","13,070"
Readymade Garments,Small,"7,187.25","22,334.75"
Refractories,Large,"5,919","8,537"
Refractories,Medium,"6,367.5","10,129.25"
Refractories,Small,"9,547","29,888"
Retail Trading ,Large,439.5,"4,785"
Retail Trading ,Medium,"1,170","10,432.25"
Retail Trading ,Small,"5,639","35,510"
Road Transport & Allied Services,Large,844.75,"8,855.75"
Road Transport & Allied Services,Medium,572.75,"8,965.75"
Road Transport & Allied Services,Small,"4,099","26,298.25"
Rubber Products,Large,"5,461.5","9,629.25"
Rubber Products,Medium,"5,459.5","11,763.5"
Rubber Products,Small,"4,847","14,866"
Shipping,Large,"2,228.25","7,366.25"
Shipping,Medium,"2,765.5","8,226.75"
Shipping,Small,"2,999.5","11,783.5"
Shipping Transport & Allied Services ,Large,"2,253.5","7,239.5"
Shipping Transport & Allied Services ,Medium,"2,765.5","8,461"
Shipping Transport & Allied Services ,Small,"4,744","25,554.5"
Sponge Iron,Large,428,"3,877.75"
Sponge Iron,Medium,"1,387.25","4,525"
Sponge Iron,Small,"1,115.5","14,300.5"
Starches,Large,"2,776.5","4,210.5"
Starches,Medium,"3,150","3,988"
Starches,Small,"8,808","17,004"
Steel,Large,"1,582","6,048.25"
Steel,Medium,"2,029.75","6,732.75"
Steel,Small,"2,817","10,037"
Steel Pipes & Tubes,Large,"3,362.75","7,567.75"
Steel Pipes & Tubes,Medium,"3,537.5","7,684.75"
Steel Pipes & Tubes,Small,"4,181.25","11,884"
Storage & Distribution Industry,Large,"1,762.25","8,084"
