Pennant Sector,Scale,EBITDAMarginMin,EBITDAMarginMax
Marine Foods,Large,6.81,10.6
Marine Foods,Medium,4.16,7.36
Marine Foods,Small,5,9.59
Media & Print,Large,14.92,31.74
Media & Print,Medium,7.48,26.1
Media & Print,Small,2.42,16.8
Milling Products ,Large,1.97,5.66
Milling Products ,Medium,1.78,6
Milling Products ,Small,1.9,3.92
Minerals,Large,8.25,38.96
Minerals,Medium,6.97,17.97
Minerals,Small,1.95,21.67
Mining & Construction Equipment ,Large,0.99,3.61
Mining & Construction Equipment ,Medium,1.1,4.83
Mining & Construction Equipment ,Small,0.91,2.88
Misc. Manufactured Article,Large,12.17,25.92
Misc. Manufactured Article,Medium,3.82,14.63
Misc. Manufactured Article,Small,2,23.11
Natural Gas Trading & Distribution Industry,Large,12.52,21.45
Natural Gas Trading & Distribution Industry,Medium,30.32,49.89
Natural Gas Trading & Distribution Industry,Small,20.81,41.69
Online Marketplaces,Large,1,3.85
Online Marketplaces,Medium,1,5.83
Online Marketplaces,Small,2,12.5
Organic Chemicals,Large,13.14,23.91
Organic Chemicals,Medium,7.79,19.46
Organic Chemicals,Small,3.71,15.79
Other Agricultural Products ,Large,4.55,13.39
Other Agricultural Products ,Medium,2.62,9.93
Other Agricultural Products ,Small,1,20.07
Other Chemical Products,Large,17.62,44.32
Other Chemical Products,Medium,9.73,42.4
Other Chemical Products,Small,7.23,34.44
Other Construction Material ,Large,9.77,18.41
Other Construction Material ,Medium,4.95,10.1
Other Construction Material ,Small,5.61,31.06
Other Domestic Appliance,Large,4.75,14.64
Other Domestic Appliance,Medium,4.65,12.64
Other Domestic Appliance,Small,9.28,21.84
Other Electronics,Large,7.79,17.33
Other Electronics,Medium,6.65,17.91
Other Electronics,Small,1,13.18
Other Ferrous Metal ,Large,5.8,15.97
Other Ferrous Metal ,Medium,5.14,14.58
Other Ferrous Metal ,Small,3.32,14.82
Other Industrial Machinery ,Large,8.17,15.39
Other Industrial Machinery ,Medium,16.12,17.83
Other Industrial Machinery ,Small,1,3.37
Other Leather & Related Products ,Large,5.04,9.72
Other Leather & Related Products ,Medium,6.13,10.97
Other Leather & Related Products ,Small,0.8,14.61
Other Misc Services,Large,8.97,34.46
Other Misc Services,Medium,2.25,43.7
Other Misc Services,Small,3,55.95
Other Non-ferrous Metals & Metal Products I,Large,3.11,11.92
Other Non-ferrous Metals & Metal Products I,Medium,3.61,8.25
Other Non-ferrous Metals & Metal Products I,Small,1.29,8.79
Other Textiles Industry,Large,6.34,17.14
